3,Radunovic,Radunovic,P,POR,1,1,1,1,Cagliari,2,2,,,,https://content.fantacalcio.it/web/campioncini/21/card/3.png?v=701,0,0,0,0,30,21
4,Sportiello,Sportiello,P,POR,1,1,1,1,Atalanta,2,2,,,,https://content.fantacalcio.it/web/campioncini/21/card/4.png?v=701,0,0,0,0,34,21
133,Skorupski,Skorupski,P,POR,10,10,10,10,Bologna,36,36,,,,https://content.fantacalcio.it/web/campioncini/21/card/133.png?v=701,0,6,5,1,35,21
158,Lezzerini,Lezzerini,P,POR,1,1,1,1,Fiorentina,2,2,,,,https://content.fantacalcio.it/web/campioncini/21/card/158.png?v=701,0,0,0,0,31,21
218,Perin,Perin,P,POR,6,6,6,6,Juventus,6,6,,,,https://content.fantacalcio.it/web/campioncini/21/card/218.png?v=701,1,0,0,0,34,21
219,Sommariva,Sommariva,P,POR,1,1,1,1,Genoa,2,2,,,,https://content.fantacalcio.it/web/campioncini/21/card/219.png?v=701,0,0,0,0,29,21
543,Padelli,Padelli,P,POR,1,1,1,1,Udinese,2,2,,,,https://content.fantacalcio.it/web/campioncini/21/card/543.png?v=701,0,0,0,0,41,21
572,Meret,Meret,P,POR,11,11,11,11,Napoli,53,53,,,,https://content.fantacalcio.it/web/campioncini/21/card/572.png?v=701,0,6,6,1,29,21
610,Gollini,Gollini,P,POR,1,1,1,1,Roma,2,2,,,,https://content.fantacalcio.it/web/campioncini/21/card/610.png?v=701,0,0,0,0,31,21
1926,Di Gennaro,Di Gennaro,P,POR,1,1,1,1,Inter,2,2,,,,https://content.fantacalcio.it/web/campioncini/21/card/1926.png?v=701,0,0,0,0,33,21
1930,Pinsoglio,Pinsoglio,P,POR,1,1,1,1,Juventus,2,2,,,,https://content.fantacalcio.it/web/campioncini/21/card/1930.png?v=701,0,0,0,0,36,21
2127,Satalino,Satalino,P,POR,1,1,1,1,Sassuolo,2,2,,,,https://content.fantacalcio.it/web/campioncini/21/card/2127.png?v=701,0,0,0,0,27,21
2134,Falcone,Falcone,P,POR,9,8,9,8,Lecce,30,30,,,,https://content.fantacalcio.it/web/campioncini/21/card/2134.png?v=701,0,7,7,1,31,21
2170,Milinkovic-Savic V.,Milinkovic-Savic V.,P,POR,5,5,5,5,Napoli,8,8,,,,https://content.fantacalcio.it/web/campioncini/21/card/2170.png?v=701,0,0,0,0,29,21
2297,Rossi F.,Rossi F.,P,POR,1,1,1,1,Atalanta,2,2,,,,https://content.fantacalcio.it/web/campioncini/21/card/2297.png?v=701,1,0,0,0,35,21
2401,Fruchtl,Fruchtl,P,POR,1,1,1,1,Lecce,2,2,,,,https://content.fantacalcio.it/web/campioncini/21/card/2401.png?v=701,1,0,0,0,26,21
2521,De Gea,De Gea,P,POR,12,13,12,13,Fiorentina,40,40,,,,https://content.fantacalcio.it/web/campioncini/21/card/2521.png?v=701,0,5.5,1.5,1,36,21
2809,Vigorito,Vigorito,P,POR,1,1,1,1,Como,2,2,,,,https://content.fantacalcio.it/web/campioncini/21/card/2809.png?v=701,0,0,0,0,36,21
2814,Provedel,Provedel,P,POR,2,2,2,2,Inter,6,6,,,,https://content.fantacalcio.it/web/campioncini/21/card/2814.png?v=701,0,0,0,0,32,21
2815,Terracciano,Terracciano,P,POR,1,1,1,1,Milan,2,2,,,,https://content.fantacalcio.it/web/campioncini/21/card/2815.png?v=701,0,0,0,0,36,21
